tick,1,3,2,4
22,1,1,1,1
48,1,1,1,1
72,1,1,1,1
97,1,1,1,1
123,1,1,1,1
147,1,1,1,1
173,1,1,1,1
199,1,1,1,1
223,1,1,1,1
250,1,1,1,1
274,1,1,1,1
300,1,1,1,1
322,1,1,1,1
351,1,1,1,1
375,1,1,1,1
399,1,1,1,1
422,1,1,1,1
448,1,1,1,1
471,1,1,1,1
496,1,1,1,1
521,1,1,1,1
543,1,1,1,1
569,1,1,1,1
599,1,1,1,1
623,1,1,1,1
652,1,1,1,1
674,1,1,1,1
700,1,1,1,1
724,1,1,1,1
751,1,1,1,1
773,1,1,1,1
799,1,1,1,1
826,1,1,1,1
851,1,1,1,1
878,1,1,1,1
901,1,1,1,1
927,1,1,1,1
953,1,1,1,1
983,1,1,1,1
1010,1,1,1,1
1031,1,1,1,1
1060,1,1,1,1
1083,1,1,1,1
1105,1,1,1,1
1132,1,1,1,1
1157,1,1,1,1
1185,1,1,1,1
1210,1,1,1,1
1240,1,1,1,1
1265,1,1,1,1
1292,1,1,1,1
1314,1,1,1,1
1343,1,1,1,1
1366,1,1,1,1
1390,1,1,1,1
1416,1,1,1,1
1440,1,1,1,1
1464,1,1,1,1
1487,1,1,1,1
1514,1,1,1,1
1536,1,1,1,1
1565,1,1,1,1
1591,1,1,1,1
1616,1,1,1,1
1640,1,1,1,1
1668,1,1,1,1
1692,1,1,1,1
1718,1,1,1,1
1746,1,1,1,1
1766,1,1,1,1
1792,1,1,1,1
1818,1,1,1,1
1841,1,1,1,1
1864,1,1,1,1
1888,1,1,1,1
1914,1,1,1,1
1938,1,1,1,1
1966,1,1,1,1
1989,1,1,1,1
